timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, stateouterloop, yaw
9051, 0.0007136506610549986, 0.00015381202683784068, 0.0016539526404812932, 0.0024026157334446907, 0.0014170000795274973, -0.0045632836408913136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9071, 0.002166302176192403, 0.00014696600555907935, 0.0021406845189630985, 0.01003372110426426, 0.0013472887221723795, -0.0014956359518691897, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.026875389739871025
9091, 0.0006954229902476072, -0.0017803580267354846, 0.002130351960659027, 0.0028755550738424063, -0.00790908932685852, -0.0013016455341130495, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.026435356587171555
9111, 0.0009295359486714005, -0.0017587937181815505, 0.0020645533222705126, 0.004100665915757418, -0.007210887502878904, -0.0011940873228013515, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02666882425546646
9132, 0.0014684908092021942, -0.0015756357461214066, 0.002044032560661435, 0.006799161434173584, -0.005673301871865988, -0.0010819289600476623, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02607724815607071
9151, 0.001462843851186335, -0.0015514278784394264, 0.001616241643205285, 0.006864667404443026, -0.005077042151242495, -0.0031613686587661505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02732011303305626
9172, 0.0007673660293221474, -0.002103642327710986, 0.0015558195300400257, 0.003240905236452818, -0.007317253854125738, -0.0029509412124753, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0273741502314806
9191, 0.0014923232374712825, -0.0016064418014138937, 0.0015057511627674103, 0.007131941616535187, -0.00417908001691103, -0.0028275088407099247, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02611093968153
9211, 0.0005004487466067076, -0.0018545642960816622, 0.0016719413688406348, 0.0021322232205420732, -0.004771440289914608, -0.0017515078652650118, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.028384260833263397
9231, 0.0007042042561806738, -0.002025729976594448, 0.0016629507299512625, 0.003122664988040924, -0.006069449242204428, -0.0015007759211584926, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030548112466931343
9251, 0.0007334004621952772, -0.002149850595742464, 0.0025929734110832214, 0.0036280208732932806, -0.005835719406604767, 0.0034268463496118784, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.027070967480540276
9271, 0.0007389542297460139, -0.001918976427987218, 0.002714238129556179, 0.003008799161761999, -0.004269923083484173, 0.004004775080829859, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.028087463229894638
9291, 0.0007995232590474188, -0.001954204635694623, 0.002049135509878397, 0.003685291623696685, -0.0038805543445050716, -0.00013618353113997728, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017688093706965446
9311, 0.0015639928169548512, -0.002174879889935255, 0.0020518903620541096, 0.008136186748743057, -0.004108775872737169, 0.0005875791539438069, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.018818950280547142
9331, 0.001034606248140335, -0.002125362865626812, 0.0012799928663298488, 0.0048972186632454395, -0.003339529735967517, -0.003482457483187318, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.020992284640669823
9351, 0.0007563110557384789, -0.0021125259809195995, 0.001212127273902297, 0.00326767610386014, -0.0024728565476834774, -0.0036189258098602295, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.018451383337378502
9371, 0.00024325650883838534, -0.0020981200505048037, 0.0014665144262835383, 0.00036451430059969425, -0.0020253208931535482, -0.0015241712098941207, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.019620021805167198
9391, 0.0007404325879178941, -0.002115136245265603, 0.0014364947564899921, 0.0033171698451042175, -0.0013478108448907733, -0.0017369757406413555, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.019280370324850082
9411, 0.0007406265358440578, -0.002100216457620263, 0.0014084690483286977, 0.0032431932631880045, -0.0015172302955761552, -0.0019486983073875308, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.019510524347424507
9431, 0.0014588203048333526, -0.001889824285171926, 0.001212135306559503, 0.006629014387726784, -0.00015662786609027535, -0.0024621186312288046, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01621842570602894
9451, 0.001003426150418818, -0.0018915529362857342, 0.001163973705843091, 0.004056800622493029, 0.0006903370376676321, -0.002482831012457609, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01952708512544632
9472, 0.0007411326514557004, -0.0018707107519730926, 0.0018568414961919188, 0.0026112371124327183, 0.001495608827099204, 0.0012550593819469213, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021694952622056007
9491, 0.000962350401096046, -0.0021079988218843937, 0.0018853958463296294, 0.00394377252086997, 1.7448330254410394e-05, 0.0012329318560659885, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.019939757883548737
9512, 0.00047576898941770196, -0.0018420979613438249, 0.001557711511850357, 0.0010624905116856098, 0.0014299264876171947, -0.0007221461273729801, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021118219941854477
